code, name, province_id
1201,Kabupaten Tapanuli Tengah,12
1202,Kabupaten Tapanuli Utara,12
1203,Kabupaten Tapanuli Selatan,12
1204,Kabupaten Nias,12
1205,Kabupaten Langkat,12
1206,Kabupaten Karo,12
1207,Kabupaten Deli Serdang,12
1208,Kabupaten Simalungun,12
1209,Kabupaten Asahan,12
1210,Kabupaten Labuhanbatu,12
1211,Kabupaten Dairi,12
1212,Kabupaten Toba,12
1213,Kabupaten Mandailing Natal,12
1214,Kabupaten Nias Selatan,12
1215,Kabupaten Pakpak Bharat,12
1216,Kabupaten Humbang Hasundutan,12
1217,Kabupaten Samosir,12
1218,Kabupaten Serdang Bedagai,12
1219,Kabupaten Batu Bara,12
1220,Kabupaten Padang Lawas Utara,12
1221,Kabupaten Padang Lawas,12
1222,Kabupaten Labuhanbatu Selatan,12
1223,Kabupaten Labuhanbatu Utara,12
1224,Kabupaten Nias Utara,12
1225,Kabupaten Nias Barat,12
1271,Kota Medan,12
1272,Kota Pematangsiantar,12
1273,Kota Sibolga,12
1274,Kota Tanjungbalai,12
1275,Kota Binjai,12
1276,Kota Tebing Tinggi,12
1277,Kota Padangsidimpuan,12
1278,Kota Gunungsitoli,12
